,id,gender,state,region,education,income,vehicle_class,policy_type,monthly_premium,customer_lifetime_value,total_claim_amount,open_complaints
2,ai49188,f,nevada,central,bachelor,48767.0,two-door car,personal auto,108.0,12887,566.47,0
3,ww63253,m,california,west,bachelor,50510.55,suv,corporate auto,106.0,7646,529.88,0
4,ga49547,m,washington,east,high school or below,36357.0,four-door car,personal auto,68.0,5363,17.27,0
5,oc83172,f,oregon,north west,bachelor,62902.0,two-door car,personal auto,69.0,8256,159.38,0
6,xz87318,f,oregon,north west,college,55350.0,four-door car,corporate auto,67.0,5381,321.6,0
7,cf85061,m,arizona,central,master,50510.55,four-door car,corporate auto,101.0,7216,363.03,0
9,bq94931,f,oregon,north west,college,28812.0,four-door car,special auto,93.0,7388,425.53,0
10,sx51350,m,california,west,college,50510.55,four-door car,personal auto,67.0,4739,482.4,0
11,vq65197,none,california,west,college,50510.55,suv,personal auto,110.0,8197,528.0,0
12,dp39365,none,california,west,master,77026.0,four-door car,corporate auto,110.0,8799,472.03,2
13,sj95423,none,arizona,central,high school or below,99845.0,suv,corporate auto,110.0,8819,528.0,1
14,il66569,none,california,west,college,83689.0,four-door car,corporate auto,70.0,5384,307.14,2
15,bw63560,none,oregon,north west,bachelor,24599.0,four-door car,corporate auto,64.0,7463,42.92,1
16,fv94802,none,nevada,central,high school or below,25049.0,two-door car,personal auto,67.0,2567,454.25,0
17,oe15005,none,california,west,college,28855.0,suv,personal auto,101.0,3945,647.44,0
18,wc83389,none,oregon,north west,college,51148.0,four-door car,personal auto,72.0,5710,308.98,0
19,fl50705,none,california,west,high school or below,66140.0,four-door car,corporate auto,101.0,8163,484.8,0
20,zk25313,none,oregon,north west,high school or below,57749.0,two-door car,personal auto,74.0,2872,355.2,0
21,qk46697,m,washington,east,bachelors,61040.0,two-door car,personal auto,79.0,6177,20.38,1
23,tz98966,none,nevada,central,bachelor,50510.55,four-door car,corporate auto,73.0,2450,554.38,3
24,hm55802,none,california,west,bachelor,17870.0,four-door car,corporate auto,61.0,2392,439.2,0
25,fs42516,none,oregon,north west,college,97541.0,four-door car,personal auto,72.0,5802,389.19,0
26,us89481,none,california,west,bachelor,50510.55,four-door car,personal auto,111.0,3946,799.2,0
27,hs14476,m,washington,east,college,29723.0,four-door car,personal auto,80.0,9162,20.99,0
28,ge62437,none,arizona,central,college,86584.0,four-door car,personal auto,111.0,12903,532.8,2
29,ej77678,none,oregon,north west,master,75690.0,four-door car,personal auto,80.0,3235,384.0,1
30,sv85652,none,arizona,central,college,23158.0,four-door car,personal auto,63.0,2455,322.29,1
32,pf41800,none,california,west,bachelor,50510.55,four-door car,personal auto,65.0,4715,308.15,0
33,hd95276,f,washington,east,college,50510.55,suv,personal auto,130.0,4738,23.82,0
34,sk67821,none,oregon,north west,bachelor,37260.0,four-door car,corporate auto,62.0,4933,15.44,0
35,yv55495,none,arizona,central,high school or below,68987.0,four-door car,personal auto,71.0,5744,204.48,0
36,ky38074,none,california,west,bachelor,42305.0,four-door car,personal auto,117.0,13892,561.6,0
37,dm79012,none,oregon,north west,master,65706.0,four-door car,personal auto,91.0,7381,436.8,0
38,cm61827,none,oregon,north west,bachelor,50510.55,two-door car,personal auto,90.0,3090,648.0,0
39,wc35801,none,arizona,central,high school or below,53243.0,four-door car,personal auto,66.0,2522,157.4,2
40,qg25316,none,nevada,central,high school or below,50510.55,two-door car,corporate auto,70.0,2652,484.32,1
41,mb98372,none,oregon,north west,college,50071.0,two-door car,corporate auto,71.0,2771,18.92,0
42,il19217,none,california,west,bachelor,60021.0,four-door car,personal auto,99.0,3939,882.87,0
43,sr38658,none,arizona,central,high school or below,43244.0,sports car,personal auto,103.0,12232,494.4,0
46,bu27331,none,arizona,central,bachelor,50510.55,four-door car,personal auto,73.0,4469,579.17,3
47,xm45289,none,oregon,north west,high school or below,23218.0,two-door car,personal auto,71.0,5514,447.79,0
48,kp34198,none,california,west,bachelor,50510.55,four-door car,corporate auto,92.0,3344,529.62,0
49,sh90947,none,arizona,central,high school or below,50510.55,four-door car,personal auto,62.0,2294,313.02,0
52,rb69909,none,nevada,central,high school or below,36014.0,four-door car,special auto,69.0,7983,173.96,3
53,nw21079,f,washington,east,master,67163.0,two-door car,personal auto,61.0,4879,33.19,2
54,fr46645,none,california,west,bachelor,16701.0,four-door car,personal auto,113.0,4294,831.63,0
55,sy17488,none,arizona,central,college,46623.0,four-door car,corporate auto,91.0,7164,436.8,0
56,ap67935,none,california,west,college,64749.0,four-door car,special auto,64.0,7620,302.57,0
57,fs37417,none,arizona,central,high school or below,50510.55,suv,personal auto,101.0,3958,484.8,0
58,ml29312,none,oregon,north west,high school or below,16969.0,suv,personal auto,124.0,4499,704.77,2
59,ub61619,none,oregon,north west,master,11621.0,four-door car,personal auto,108.0,4060,518.4,0
60,cd86811,none,arizona,central,bachelor,17622.0,four-door car,personal auto,65.0,4458,312.0,1
61,ru83859,none,california,west,bachelor,11489.0,two-door car,personal auto,105.0,8110,504.0,0
62,fg63582,none,oregon,north west,bachelor,50510.55,two-door car,personal auto,94.0,3340,863.33,0
64,wb37082,none,arizona,central,bachelor,50510.55,four-door car,personal auto,63.0,6614,676.39,0
65,sm52139,none,washington,east,college,33663.0,four-door car,personal auto,73.0,2931,350.4,0
66,fl82372,none,oregon,north west,college,22547.0,suv,corporate auto,112.0,8672,537.6,0
67,dp45816,none,arizona,central,high school or below,61486.0,two-door car,personal auto,97.0,11639,465.26,0
68,gw33762,none,oregon,north west,bachelor,50510.55,two-door car,personal auto,95.0,6846,456.0,0
69,rz33670,none,california,west,college,29879.0,four-door car,personal auto,102.0,11728,500.25,0
71,mo91628,none,oregon,north west,master,65186.0,two-door car,personal auto,65.0,2614,5.43,0
72,hw87852,none,oregon,north west,master,26840.0,four-door car,personal auto,64.0,2452,307.2,2
74,bn87372,none,oregon,north west,bachelor,75644.0,two-door car,personal auto,65.0,4975,467.8,3
75,yx23800,none,oregon,north west,bachelor,38984.0,four-door car,personal auto,73.0,8592,350.4,0
76,dz87709,none,oregon,north west,high school or below,71811.0,four-door car,personal auto,71.0,5592,29.03,0
77,xw13033,none,nevada,central,college,20961.0,four-door car,personal auto,67.0,8009,321.6,0
78,sp81997,f,washington,east,master,41275.0,four-door car,personal auto,96.0,7978,41.12,0
80,zu35962,none,california,west,college,50510.55,two-door car,personal auto,77.0,8025,25.81,0
81,vh85817,none,california,west,high school or below,51066.0,four-door car,personal auto,74.0,5780,787.99,0
82,dt85712,none,california,west,doctor,34378.0,suv,personal auto,102.0,4119,489.6,0
83,yj88573,none,nevada,central,master,43072.0,four-door car,personal auto,63.0,2523,302.4,0
84,sq19467,none,oregon,north west,college,25222.0,four-door car,personal auto,90.0,6554,475.62,0
85,yb66933,f,washington,east,bachelor,77552.0,four-door car,corporate auto,68.0,5383,45.22,1
86,et79815,none,california,west,college,23091.0,four-door car,personal auto,96.0,5927,460.8,5
87,qc35222,none,california,west,bachelor,48269.0,four-door car,corporate auto,69.0,2683,282.15,3
88,cj15590,none,oregon,north west,bachelor,32720.0,four-door car,personal auto,67.0,2695,321.6,0
89,oi48267,none,california,west,college,20396.0,four-door car,personal auto,76.0,6047,364.8,1
90,jy67916,none,oregon,north west,college,21513.0,two-door car,personal auto,119.0,13171,679.83,1
91,ow15518,f,washington,east,college,50510.55,two-door car,personal auto,87.0,15950,46.04,1
92,cz33664,none,oregon,north west,bachelor,80744.0,four-door car,corporate auto,63.0,2528,11.88,0
93,wk30175,none,oregon,north west,bachelor,52822.0,two-door car,corporate auto,67.0,2672,350.53,0
94,on44465,none,california,west,high school or below,50510.55,four-door car,personal auto,77.0,5313,863.39,1
96,kh48895,none,arizona,central,master,17780.0,suv,personal auto,109.0,8375,132.59,0
97,nz30757,none,california,west,bachelor,18107.0,four-door car,personal auto,62.0,4802,297.6,0
98,ri22468,none,arizona,central,bachelor,57740.0,four-door car,personal auto,74.0,5746,269.91,3
99,fz30935,none,oregon,north west,college,32627.0,two-door car,personal auto,76.0,6066,380.04,0
100,ug93476,none,california,west,college,50510.55,suv,personal auto,107.0,8002,513.6,0
101,ab96670,none,california,west,college,50510.55,four-door car,personal auto,70.0,2394,425.27,0
102,xk64261,none,oregon,north west,bachelor,65795.0,two-door car,corporate auto,62.0,4763,49.01,1
103,ev68375,none,california,west,college,60475.0,four-door car,personal auto,107.0,4330,513.6,0
104,un51653,none,california,west,high school or below,50510.55,suv,personal auto,130.0,9403,936.0,0
105,to96662,none,oregon,north west,bachelor,41837.0,four-door car,personal auto,88.0,6967,142.06,0
106,mr52087,none,california,west,bachelor,32303.0,four-door car,personal auto,65.0,7694,45.15,0
107,de75225,none,oregon,north west,high school or below,50510.55,suv,personal auto,117.0,8718,561.6,1
108,ep80820,none,california,west,bachelor,40531.0,two-door car,personal auto,74.0,5929,30.57,0
109,gu99037,none,oregon,north west,college,79898.0,four-door car,corporate auto,62.0,2453,271.61,1
110,wi57118,none,california,west,college,56398.0,four-door car,personal auto,85.0,6702,408.0,0
111,gp39118,m,washington,east,high school or below,71600.0,two-door car,personal auto,63.0,4997,46.16,0
112,mq14219,none,arizona,central,college,27804.0,suv,personal auto,109.0,8493,784.8,0
113,kn20603,none,oregon,north west,bachelor,45506.0,four-door car,personal auto,66.0,7713,316.8,2
115,ji70886,none,california,west,high school or below,50510.55,suv,corporate auto,102.0,7290,489.6,1
116,vf72557,none,oregon,north west,high school or below,20993.0,suv,personal auto,133.0,4773,638.4,0
117,ox28638,none,arizona,central,high school or below,37839.0,two-door car,personal auto,86.0,6806,465.63,0
118,sk55033,none,california,west,bachelor,92711.0,two-door car,personal auto,62.0,2470,368.4,0
119,oo88645,none,california,west,college,74665.0,four-door car,corporate auto,78.0,3104,236.9,2
120,fm14335,f,washington,east,college,61108.0,four-door car,personal auto,89.0,10485,49.45,0
121,cw82151,none,california,west,bachelor,46833.0,sports car,personal auto,112.0,8903,64.11,0
122,dy22043,none,oregon,north west,high school or below,88768.0,two-door car,personal auto,68.0,5499,326.4,0
124,em43724,none,nevada,central,bachelor,33555.0,four-door car,personal auto,63.0,2509,101.9,0
126,xa55993,none,oregon,north west,master,58850.0,four-door car,personal auto,78.0,3134,143.75,0
127,go36627,none,arizona,central,college,21880.0,four-door car,special auto,97.0,3837,424.08,0
128,qh48047,none,oregon,north west,college,25251.0,four-door car,personal auto,66.0,11790,316.8,0
129,hs28694,f,washington,east,high school or below,25317.0,two-door car,personal auto,71.0,2830,50.42,0
130,uh65059,none,arizona,central,high school or below,24188.0,sports car,personal auto,109.0,4306,523.2,0
131,fv21968,none,nevada,central,bachelor,41611.0,four-door car,special auto,74.0,5974,113.8,0
132,qa87025,none,oregon,north west,bachelor,28406.0,four-door car,personal auto,72.0,5670,192.88,1
133,tq13499,none,arizona,central,college,69833.0,four-door car,personal auto,118.0,4732,828.66,0
134,bu44523,none,arizona,central,high school or below,50510.55,four-door car,corporate auto,74.0,8026,532.8,0
136,pu25891,none,oregon,north west,high school or below,80536.0,sports car,special auto,119.0,9618,53.8,0
137,lh92841,f,washington,east,bachelors,88891.0,four-door car,personal auto,89.0,7256,50.53,0
138,sx26335,none,oregon,north west,college,97732.0,four-door car,personal auto,79.0,9553,289.91,0
139,az95587,f,arizona,central,bachelor,61222.0,four-door car,special auto,89.0,10389,392.6,0
140,ds81757,m,oregon,north west,college,50510.55,two-door car,personal auto,74.0,2470,721.24,0
141,oj94107,m,arizona,central,master,50335.0,suv,personal auto,140.0,5619,456.52,0
143,ff22360,f,washington,east,doctor,82210.0,four-door car,personal auto,68.0,2687,51.96,4
144,lm19287,f,oregon,north west,high school or below,50510.55,four-door car,personal auto,96.0,3732,460.8,0
145,zu18643,m,nevada,central,bachelor,64495.0,four-door car,corporate auto,92.0,3661,251.99,0
146,az82578,f,california,west,college,50510.55,four-door car,corporate auto,72.0,7929,345.6,0
147,xc67861,f,arizona,central,bachelor,28859.0,two-door car,corporate auto,67.0,5012,321.6,3
148,yc43143,f,arizona,central,high school or below,77330.0,four-door car,personal auto,99.0,7988,99.26,0
149,ek59571,m,oregon,north west,college,50510.55,four-door car,corporate auto,105.0,3885,504.0,0
